EalphaGamma,EalphaBetaASM,EEbeta,EEgamma,EEtheta,DASMalpha,psdBeta,EalphaGammaP,EalphaBetaASMP,EEbetaP,EEalphaP,DASMalphaP,Class
0.840312192872986,-0.163872017395682,-86.0691058447392,-6.6881662588894,-1840.34436364906,-0.0494362781856479,2.02439085957647,-1.54234556445487,0.262763998484368,18.1215372362822,-537.117643712569,0.0731195041503079,0
0.948575191632402,0.259075842228797,-105.738681703326,110.553542368478,-841.648886380619,-0.0195660149132011,-4.33605339454708,-22.5277691514424,39.1636978455835,335.275949747638,-948.584724940312,0.378082917397554,0
0.695922846349734,-4.23052492617435,143.602399850448,98.3842589798587,-933.806905980971,-0.165835471612812,-0.709833088249404,-43.2686253566339,-0.381017177430448,280.359053438311,-531.40992438102,0.38465330965412,0
0.610492975830552,-1.39719883618176,-234.205910141447,-147.856521761958,-433.807891320421,-0.109380800717448,-0.187913616312763,-3.61381635975559,0.95222422131981,-21.1650006263953,-505.917762617553,0.36334082483357,0
0.64557906528359,-0.332492917091729,-259.912398980696,-200.600842111513,-1818.04257684045,-0.126343386450968,0.0507490407436268,-3.47039727999325,0.342245485191459,67.980241055533,-614.128300722807,0.438513215306803,0
0.319734252204514,-0.331398213192154,91.2672815790665,-261.221141398169,-2010.48086710217,-0.0351184472085349,3.11299012705613,28.4524556817916,1.17929852364473,652.529256553293,-282.571951031669,0.343327063216693,0
0.357503633294917,-0.172119227962521,-49.5181841468238,-111.607176978941,-458.491947010705,-0.245245289352334,-0.433263645083956,14.5310399905113,0.487730612099129,367.766122357079,-635.922855881341,0.230643545777581,0
0.539999338835948,-0.284089720269988,-324.508891399888,32.5203836543369,-863.120849878069,-0.0972078335276236,-1.13411671397415,-5.35258746051601,0.335161410893498,106.464209563233,-1259.1537852545,0.484991029378142,0
0.0217576479179343,-0.0170557825446053,-524.17650076322,70.76520968978,-673.59273412386,-0.218513863875248,0.201023448978697,22.5304217119039,2.38428903165801,181.53452246596,-166.58322975631,-0.0439091390967872,1
-0.886586213180539,0.468036139470257,-193.285137017498,175.174113564048,256.853381711637,-0.0813847224570559,2.48566433880261,102.689661305241,174.24816314271,565.981553795082,-1097.5994416207,-0.0649062644711282,1
-0.945857902193767,-8.96537608554699,-67.1367611355254,429.744223121059,450.260100999509,-0.0798136264402229,3.83646485285177,13.8956830361516,-1.57472248757722,971.899682940446,-1237.70484685508,-0.120441378753883,1
-1.18986721242041,-2.97841733203379,259.641348698144,158.431522450406,449.419878610173,-0.0406122756494374,2.50189780836367,16.9232970866014,4.69960606370839,844.025433709099,-1024.45668516547,-0.0372274910205697,1
-1.39444523008883,-0.714373026884699,-186.864567483513,160.934324211128,55.4963450856776,0.0137346178727993,6.10536817127093,16.7676204353354,1.54250816109506,315.319336463488,-1211.17120705992,-0.12997611239365,1
-1.32686510606613,-1.3116456283857,-53.7997096499512,-290.605000005329,275.968562222657,-0.0768299373478099,10.2722615753566,15.9976851327204,5.46525957410597,338.860031560691,-935.06930892847,-0.157619558045845,1
-1.76757427261565,-0.453615101502605,277.044607179521,23.3271982685765,812.543331466826,-0.0501400797864089,7.50572532722362,20.521981978118,1.94593598787334,455.002813173791,-1171.98468176206,-0.131478320213136,1
-1.40773680901548,-0.515154477283306,-397.720833558633,27.5788317021143,202.285763728747,-0.125208892561487,7.86721859388742,13.535052315046,1.83299833619942,258.618283768001,-1277.80960418523,-0.120745998104489,1
-0.973435673007817,0.294470085626408,163.242279256088,-224.675345781994,-286.572136228604,0.704040225274191,4.50056334567337,-3.50796631068712,93.5654516648427,198.343285515928,958.033597131696,-0.316779098533339,0
-16.3935309501398,0.168151505172116,116.755894897407,-564.166755004257,-132.621002124823,0.642792074353558,30.5316945186994,-1.99495459968166,-0.98738108023108,409.717321455633,-273.320997915809,-0.0347700021305264,0
-7.95322073242734,0.113967022070783,384.180305698452,-823.071787939803,888.623507717793,0.684971788201998,28.9148033367677,-2.1894329150056,-0.474171037322429,467.451815974329,653.143369628886,0.0613047860109126,0
-15.1144261404446,0.116127959323759,395.760201682466,-734.672758816499,766.616473778175,0.72922317641845,29.7643996920635,-2.30573021254482,6.4670323558003,432.690719012951,313.119847973925,0.023985096421578,0
-2.29579784027053,0.104211397415507,80.8482857422896,-936.207821759288,293.276328583459,0.861373568967847,23.3614059825466,-2.74648298886328,-12.8025957636433,222.556677284412,538.723456517604,-0.0949069147133383,0
-2.71407807119186,0.136797019798898,-30.2236014022474,-1061.21920074983,77.0639556495207,0.948412800819422,24.7235706834382,-2.45193436081839,-15.2763343956446,328.410962502367,167.443514216659,0.149656118182855,0
-1.80951126948085,0.108178205413695,17.4816894709038,-1136.21087627957,-579.533843423078,0.940014364325203,20.6495059165244,-1.86586864966938,-29.8509179458907,351.464382582008,346.016059480618,-0.0424121209106367,0
-6.3969981551137,0.0995991247720841,-319.472723516055,-644.464533042057,729.243175888094,0.838226935211963,13.9472360832874,-1.64149458343633,-3.00871335250758,150.512040045325,297.837202708937,0.0862224466547836,0
2.48242343220616,0.484081433175504,-347.235569785473,-78.6667503925801,-30.5499998094856,0.365681953028119,7.99975831651912,-0.783268811777753,195.69286200254,-408.899316819892,-250.920772360552,-0.117852096173011,1
3.28182037780057,0.102611993095316,-92.4648104582757,-479.102298442118,-197.169893472252,0.622438658122408,13.4135930189921,-0.390020633561899,-0.436988605499145,216.389041821833,-970.145734468328,-0.00736386693893287,1
5.12956579217793,0.0794785278718938,-106.6513344874,-270.473873259118,-281.198872387338,0.440217135392754,12.608797099347,-0.978639086504369,-0.449842605826706,-27.3787136586216,-134.312801050721,0.0865016237643061,1
2.86846501739174,0.0846787125134384,-41.0444492708593,-171.452593586499,174.730380190891,0.319555463306584,8.6600435930879,-0.816547826418949,5.95568269609426,77.0556707606065,-266.598186194973,0.300356095709224,1
3.13652853546547,0.0925640815554923,406.845635171396,-197.197632692496,-380.988486408121,0.170550398627131,5.51919028725547,-0.809901847405079,-9.44732576884926,192.311197385077,-1210.67252549735,0.333629330029674,1
6.04421643631612,0.117970180849344,77.3599621234316,-195.075849423722,506.406878058406,0.428900143619646,5.46631172409121,-0.741275033241663,-10.8991794253719,22.6361075601981,-85.3573398283006,0.125886036918368,1
2.50229567754563,0.0922661290758295,-242.544438016608,127.787552952963,137.625416466475,0.141392770605927,7.54740795939452,-0.704542907543018,-24.3315649235623,324.116779772878,-918.981370081139,0.238800709674859,1
4.30005915962158,0.0914146274449203,-381.764335484155,-368.047168565352,-243.419856309969,0.197099668891444,4.56651146382609,-0.811145035369243,-2.6620614564375,160.981572629471,-319.525396021185,0.183361579733907,1
-1.17682221186107,0.286378662650686,-199.588930661088,460.919429021304,729.784263649843,-0.204719350821547,-3.73263338152849,7.75178457056278,-0.502992393252451,389.104252066623,-100.911684292696,-0.0156773812256628,0
-0.880214956229512,0.339347608221323,-365.740761819899,560.745735817578,373.665312482879,-0.459268235813823,2.78236355491259,3.19699933439066,-0.870233104510069,-114.338075653181,-833.214993312044,0.00709611873477067,0
